,aw_deep_link,product_name,aw_product_id,merchant_product_id,merchant_image_url,description,merchant_category,search_price,merchant_name,merchant_id,category_name,category_id,aw_image_url,currency,store_price,merchant_deep_link,display_price,rrp_price,in_stock,alternate_image,alternate_image_two,alternate_image_four,large_image,alternate_image_three,custom_1,Fashion:size,brand_name,brand_id,product_type
697,https://www.awin1.com/pclick.php?p=8052457351&a=240379&m=3090,"V by Very Cold Shoulder Tie Waist Jumpsuit, Navy Floral, Size 22, Women",8052457351,19983315,https://media.very.co.uk/i/very/L4TWJ_SQ1_0000000594_NAVY_FLORAL_MDf?$266x354_standard$&,"V by Very Cold Shoulder Jumpsuit This jersey jumpsuit from V by Very is perfect for amping up your summer vacays. With its all-over pink floral print making an impact and cold shoulder deets showing off your tan, there's everything to love about this all-in-one! Even down to the slim leg, this comfy piece fuses comfort and style flawlessly. Styling Ideas Just add wedges to create a lovely leggy look this summer.",Clothing & Accessories -> Women's Clothing,15.5,very.co.uk,3090,Women's Clothing,141,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Amedia.very.co.uk%2Fi%2Fvery%2FL4TWJ_SQ1_0000000594_NAVY_FLORAL_MDf%3F%24266x354_standard%24%26&feedId=12469&k=d4f34428c9343306de19c10e776099865fb6ee4e,GBP,25.0,http://www.very.co.uk/v-by-very-cold-shoulder-tie-waist-jumpsuit/1600148213.prd?sku=sku19983315,GBP15.50,25.00,1,,,,,,https://media.very.co.uk/i/very/L4TWJ_SQ1_0000000594_NAVY_FLORAL_MDf?$266x354_standard$&,22,V by Very,0,Women -> Playsuits & Jumpsuits
1338,https://www.awin1.com/pclick.php?p=19451720519&a=240379&m=3090,"V by Very Faux Fur Trim Fleece Belted Cape, Black, Women",19451720519,20228509,https://media.very.co.uk/i/very/LM3F3_SQ1_0000000004_BLACK_SLm?$266x354_standard$&,"V by Very Faux Fur Trim Fleece Belted Cape Wrapping up warm needn't mean compromising on style, V by Very's gorgeous fleece cape proves just that! In classic black with flashes of grey, it's designed to drape over your figure in a flattering way, while the tie belt shows off your waist. We adore the faux fur collar too - so vintage-chic! Styling Ideas Pair with over-the-knee boots to channel that English heritage look. Material Content: 100% Polyester",Clothing & Accessories -> Clothing Accessories -> Women's Accessories,30.0,very.co.uk,3090,Women's Accessories,149,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Amedia.very.co.uk%2Fi%2Fvery%2FLM3F3_SQ1_0000000004_BLACK_SLm%3F%24266x354_standard%24%26&feedId=12469&k=f14bf9000b687a8af2bf49848ff94382358dc848,GBP,30.0,http://www.very.co.uk/v-by-very-faux-fur-trim-fleece-belted-cape/1600180715.prd?sku=sku20228509,GBP30.00,30.00,1,,,,,,https://media.very.co.uk/i/very/LM3F3_SQ1_0000000004_BLACK_SLm?$266x354_standard$&,,V by Very,0,Women -> Accessories -> Capes & Ponchos
1376,https://www.awin1.com/pclick.php?p=16494224273&a=240379&m=3090,"V by Very Chunky Cable Knit Pom Pom Beanie - Black, Black, Women",16494224273,20169114,https://media.very.co.uk/i/very/LM3FX_SQ1_0000000004_BLACK_SLf?$266x354_standard$&,"V by Very Chunky Cable Knit Pom Pom Beanie Style up as you snuggle down in this cool pom pom black beanie hat from V by Very. Its soft ribbed fabric and roll-up detail promises maximum warmth, while the contrast faux fur pom pom is a cute finishing touch! &nbsp; Styling Ideas The perfect outfit topper for the colder season ahead, pair with everything from jeans, trainers and knitwear to jumper dresses and over-the-knee boots. Material Content: 100% Acrylic",Clothing & Accessories -> Clothing Accessories -> Women's Accessories,12.0,very.co.uk,3090,Women's Accessories,149,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Amedia.very.co.uk%2Fi%2Fvery%2FLM3FX_SQ1_0000000004_BLACK_SLf%3F%24266x354_standard%24%26&feedId=12469&k=662abffa6aa407742cee5ab79fdb7f6fa16ab99f,GBP,12.0,http://www.very.co.uk/v-by-very-chunky-cable-knit-pom-pom-beanie-black/1600180727.prd?sku=sku20169114,GBP12.00,12.00,1,,,,,,https://media.very.co.uk/i/very/LM3FX_SQ1_0000000004_BLACK_SLf?$266x354_standard$&,,V by Very,0,Women -> Accessories -> Hats
1674,https://www.awin1.com/pclick.php?p=11815164733&a=240379&m=3090,"Ray-Ban Rayban Clubround Sunglasses, Brown, Women",11815164733,20039654,https://media.very.co.uk/i/very/LLWLJ_SQ1_0000000143_BROWN_SLa?$266x354_standard$&,Rayban Clubround Sunglasses,Clothing & Accessories -> Clothing Accessories -> Women's Accessories,110.0,very.co.uk,3090,Women's Accessories,149,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Amedia.very.co.uk%2Fi%2Fvery%2FLLWLJ_SQ1_0000000143_BROWN_SLa%3F%24266x354_standard%24%26&feedId=12469&k=ec915bcb9471496073d0cdab8a379108c49cf459,GBP,155.0,http://www.very.co.uk/ray-ban-rayban-clubround-sunglasses/1600179643.prd?sku=sku20039654,GBP110.00,155.00,1,,,,,,https://media.very.co.uk/i/very/LLWLJ_SQ1_0000000143_BROWN_SLa?$266x354_standard$&,,Ray-Ban,13658,Women -> Accessories -> Sunglasses
2374,https://www.awin1.com/pclick.php?p=3768385275&a=240379&m=3090,"Pour Moi Cherish High Neck Underwired Bralette - Black, Black, Size 34E, Women",3768385275,19678393,https://media.very.co.uk/i/very/KVK3H_SQ1_0000000004_BLACK_MDo?$266x354_standard$&,"Pour Moi&nbsp;Cherish Lace Bralette Combining this season's love of high neck designs and lace, this irresistible&nbsp;Cherish bralette by Pour Moi takes a little Victoriana influence from the catwalks and works it into your lingerie drawer!&nbsp;Super sexy, this bralette will amp up your lingerie edit for sure this season! Just add a pair of lace knicks in black for a chic and coordinated lingerie look. Washing Instructions: Hand Wash Only Bra Style: Underwired",Clothing & Accessories -> Lingerie -> Bras,28.0,very.co.uk,3090,Bras,168,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Amedia.very.co.uk%2Fi%2Fvery%2FKVK3H_SQ1_0000000004_BLACK_MDo%3F%24266x354_standard%24%26&feedId=12469&k=440b6681d675bc27e4c15d8f5b5465a7c38a77d0,GBP,28.0,http://www.very.co.uk/pour-moi-cherish-high-neck-underwired-bralette-black/1600133392.prd?sku=sku19678393,GBP28.00,28.00,1,,,,,,https://media.very.co.uk/i/very/KVK3H_SQ1_0000000004_BLACK_MDo?$266x354_standard$&,34E,Pour Moi,0,Women -> Lingerie -> Bras
2465,https://www.awin1.com/pclick.php?p=3808417523&a=240379&m=3090,"Pour Moi Amour Padded Bra , Milkshake, Size 30Dd, Women",3808417523,19801935,https://media.very.co.uk/i/very/KVJWW_SQ1_0000008470_MILKSHAKE_MDo?$266x354_standard$&,"Pour Moi&nbsp;Amour Padded Bra - Milkshake&nbsp; Create a super sexy silhouette with the plunge neckline and underwired cups of this Amour padded bra by Pour Moi! Covered in lace, it's a sultry piece that is made oh-so sweet with a bow to the front and gorgeous hue.&nbsp; Create an effortlessly coordinated look with the matching knicks and a pop of peachy pink lipstick.&nbsp; Washing Instructions: Hand Wash Only Bra Style: Padded",Clothing & Accessories -> Lingerie -> Bras,22.0,very.co.uk,3090,Bras,168,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Amedia.very.co.uk%2Fi%2Fvery%2FKVJWW_SQ1_0000008470_MILKSHAKE_MDo%3F%24266x354_standard%24%26&feedId=12469&k=5515509be094f964803f729a23884cde1e342a43,GBP,22.0,http://www.very.co.uk/pour-moi-amour-padded-branbsp/1600133394.prd?sku=sku19801935,GBP22.00,22.00,1,,,,,,https://media.very.co.uk/i/very/KVJWW_SQ1_0000008470_MILKSHAKE_MDo?$266x354_standard$&,30DD,Pour Moi,0,Women -> Lingerie -> Bras
2756,https://www.awin1.com/pclick.php?p=3768385533&a=240379&m=3090,"Panache Sport Non Wired Sports Bra B-H - Latte, Latte, Size 38C, Women",3768385533,19678533,https://media.very.co.uk/i/very/KVHAT_SQ1_0000000184_LATTE_MDf?$266x354_standard$&,"Panache Sport Non-Wired Sports Bra Designed for B-H cups, this Panache Sport non-wired sports bra features foam moulded, seam-free cups that help shape and support your bust during gym, yoga and dance classes. In a latte colourway, it'll work with your kit easily, while breathable fabric and mesh panels help keep you feeling dry and comfortable during even the most intense workouts. Wear this sports bra under your performance sports apparel and trainers for a coordinated, supportive and comfortable workout look. Washing Instructions: Hand Wash Only Bra Style: Sport Matching Items: N &bull;The foam moulded seamfree inner cups, encapsulate each breast, offering control as well as shape definition. Breathable outer performance fabric helps to keep the wearer dry and comfortable &bull;Wide cushioned shoulder straps disperse pressure during exercise. A wide cushioned hook and eye at the centre back for additional comfort &bull;Racer back ring attachment at the back strap for higher impact exercise.",Clothing & Accessories -> Lingerie -> Bras,40.0,very.co.uk,3090,Bras,168,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Amedia.very.co.uk%2Fi%2Fvery%2FKVHAT_SQ1_0000000184_LATTE_MDf%3F%24266x354_standard%24%26&feedId=12469&k=4d7fc4ce25e410b9dc7359cabcdce9c96b0e7f0d,GBP,40.0,http://www.very.co.uk/panache-sport-non-wired-sports-bra-b-h-latte/1600133744.prd?sku=sku19678533,GBP40.00,40.00,1,,,,,,https://media.very.co.uk/i/very/KVHAT_SQ1_0000000184_LATTE_MDf?$266x354_standard$&,38C,Panache Sport,0,Women -> Lingerie -> Bras
3133,https://www.awin1.com/pclick.php?p=21303011067&a=240379&m=6792,ACERO,21303011067,4541078703001,https://dx0woejilafh2.cloudfront.net/sys-master/m0/MC/2018/1/4541078703/001/s3master/4541078703001-a-acero-foulard-sciarpa-nastro_normal.jpg,"Plaid fabric scarf with a brushed finish and a soft, warm feel, with �MAX IT UP� embroidered lettering. The garment can be worn as a shrug or stole, by inserting an end through a loop. Raw-cut edging. Dimensions: 190x40 cm. Delivered in personalised packaging.",Women's Accessories,105.0,MAX&Co,6792,Women's Accessories,149,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Adx0woejilafh2.cloudfront.net%2Fsys-master%2Fm0%2FMC%2F2018%2F1%2F4541078703%2F001%2Fs3master%2F4541078703001-a-acero-foulard-sciarpa-nastro_normal.jpg&feedId=13433&k=509263b6a4f9d3142af618adf4a61984ac3c8da7,GBP,,https://gb.maxandco.com/p-4541078703001-acero-light-blue?utm_source=zanox&utm_medium=banner&utm_campaign=affiliation,GBP105.0,,1,,,,,,,,MAX&Co.,0,
3741,https://www.awin1.com/pclick.php?p=13355377787&a=240379&m=6792,DORA,13355377787,6364957003003,https://dx0woejilafh2.cloudfront.net/sys-master/m0/MC/2017/2/6364957003/003/s3master/6364957003003-a-dora-maglia-canottiera-top_normal.jpg,"Fine-gauge wool/cashmere blend sweater. Slit in the middle on the back with grosgrain ties to be tied in a bow. Fit contoured to the body, hip length. Round neck, long sleeves. Ribbed edging.",Women's Tops,119.0,MAX&Co,6792,Women's Tops,204,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Adx0woejilafh2.cloudfront.net%2Fsys-master%2Fm0%2FMC%2F2017%2F2%2F6364957003%2F003%2Fs3master%2F6364957003003-a-dora-maglia-canottiera-top_normal.jpg&feedId=13433&k=2dd10fcf3d0d69ffb4d9f37dc35dc0c15f846dfc,GBP,,https://gb.maxandco.com/p-6364957003003-dora-lemon?utm_source=zanox&utm_medium=banner&utm_campaign=affiliation,GBP119.0,,1,,,,,,,,MAX&Co.,0,
4170,https://www.awin1.com/pclick.php?p=16841701785&a=240379&m=6792,CATTEDRA,16841701785,7044127003002,https://dx0woejilafh2.cloudfront.net/sys-master/m0/MC/2017/2/7044127003/002/s3master/7044127003002-a-cattedra-giacca_normal.jpg,"Blazer in double stretch fabric. Fit contoured to the body, above-the-hip length in the back, to the hips in the front. Collar with deep-cut lapels, no fastening. Jet pockets on the front, small slits at the cuffs. Lined.",Women's Outerwear,259.0,MAX&Co,6792,Women's Outerwear,206,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Adx0woejilafh2.cloudfront.net%2Fsys-master%2Fm0%2FMC%2F2017%2F2%2F7044127003%2F002%2Fs3master%2F7044127003002-a-cattedra-giacca_normal.jpg&feedId=13433&k=12fbbf3cde72c19e320c7dd3edb454df6c89674f,GBP,,https://gb.maxandco.com/p-7044127003002-cattedra-black?utm_source=zanox&utm_medium=banner&utm_campaign=affiliation,GBP259.0,,1,,,,,,,,MAX&Co.,0,
